architecture,prompt,seed,model,mean_avg_word_frequency,mean_flesch_reading_ease,mean_wiener_sachtextformel,mean_total_sentences,mean_long_sentences_din,mean_long_words_din,mean_passive_sentences,mean_genitive_cases,mean_subjunctive_moods,mean_abbreviations,mean_long_compounds,mean_complex_noun_phrases,mean_bert_precision,mean_bert_recall,mean_bert_f1
single-node,few-shot,autoseed,finetuned-mistral,5.37555,75.9267,6.4121,3.73,1.115,1.37,0,0.1,0.015,0,0.185,0.68,0.823896565139294,0.838165751695633,0.830685061216354
single-node,few-shot,autoseed,llama3.1_8b,5.2161,72.14405,7.41255,6.955,2.76,3.55,0,0.185,0.065,0,0.535,1.365,0.826504469811916,0.84407083183527,0.83480400621891
single-node,few-shot,autoseed,llama3.3_70b,5.45995,76.30365,6.1759,9.915,4.37,4.6,0,0.215,0.08,0,0.8,2.125,0.82480996966362,0.845832861363888,0.83477102637291
single-node,few-shot,autoseed,mistral_7b-instruct,4.3749,82.7953,5.3539,8.665,3.075,2.395,0,0.07,0.085,0,0.035,1.265,0.814572200477123,0.837278746962547,0.825372070372105
single-node,few-shot,autoseed,mixtral_8x7b,5.0623,76.3679,6.3092,20.165,11.065,8.655,0,0.31,0.725,0,0.67,4.165,0.810083211362362,0.843574026525021,0.826127321124077
single-node,few-shot,autoseed,mixtral_8x22b,5.2848,77.8985,5.91975,8.92,3.79,3.69,0,0.195,0.06,0,0.305,1.935,0.821073349118233,0.846614480316639,0.833291459679604
single-node,few-shot,seeded,finetuned-mistral,5.3229,75.0175,6.438,4.34,1.37,1.73,0,0.075,0.06,0,0.195,0.745,0.825609271228313,0.841690549552441,0.83330543845892
single-node,few-shot,seeded,llama3.1_8b,5.14825,72.07075,7.59555,6.865,2.61,3.855,0,0.17,0.08,0,0.615,1.37,0.823260521888733,0.844712699949741,0.83347061663866
single-node,few-shot,seeded,llama3.3_70b,5.41645,77.9192,6.0278,12.775,4.46,5.275,0,0.24,0.06,0,0.845,2.99,0.824070184230805,0.847469129860401,0.83515089571476
single-node,few-shot,seeded,mistral_7b-instruct,4.95785,75.0069,7.3401,7.57,2.58,3.87,0,0.12,0.105,0,0.52,1.77,0.818931563198566,0.843422257006168,0.830635797679424
